Task,Image,UserID,,,Answer,,,,
Task 01,control,discarded-participant-02,,,assert: in onNewEventDo:,,,,
Task 04,control,discarded-participant-02,,,3 times from the method next and 4 times from the testAtEnd,,,,
Task 06,control,discarded-participant-02,,,0,,,,
Task 09,control,discarded-participant-02,,,"NSPowPowScale , arg: 9 NSLinearScale , arg: 9 NSPowScale , arg: 4661900",,,,
Task 13,control,discarded-participant-02,,,pragmas: ordered collection of size 3 of RBPragmaNodes  source: a bytestring: methodPragmaAfterBeforTemps 		<hello: 5> 		| aTemp | 		<world: #ok> 		<blue: true> 		 	keywordsPositions  =1,,,,
Task 02,seeker,discarded-participant-02,,,toString and asOrderedCollection,,,,
Task 03,seeker,discarded-participant-02,,,2 times from the test,,,,
Task 07,seeker,discarded-participant-02,,,1 from 1 MicrodownParser,,,,
Task 10,seeker,discarded-participant-02,,,"Again not sure, but I think for the setter color: none",,,,
Task 11,seeker,discarded-participant-02,,,shapes of the canvas and its camera,,,,
Task 01,control,participant-25,,,RSMonitorEvents>>#onNewEventDo:,,,,
Task 03,control,participant-25,,,2 times from #testApproxVersion02,,,,
Task 05,control,participant-25,,,4 instances all from MicHeaderBlock >> #asPillar,,,,
Task 09,control,participant-25,,,NSPowScalex: 9 NSLinearScalex: 3.0000000000000004 NSBilinearScalex: 3.0000000000000004 NSPowScalex: 4661900 NSLinearScalex: 2159.1433486454753 NSBilinearScalex: 2159.1433486454753,,,,
Task 14,control,participant-25,,,"It starts with 28, then when returning turns to nil",,,,
Task 02,seeker,participant-25,,,writeObject:do:,,,,
Task 04,seeker,participant-25,,,"7 in total, 4 from the test method. 3 from #next",,,,
Task 08,seeker,participant-25,,,"6 instances, HILink, HiRuler, HiNode, HiRulerBuilder",,,,
Task 10,seeker,participant-25,,,"RSBox, and the values is Color green, Color red",,,,
Task 12,seeker,participant-25,,,"baseRectangle changes from a value to other. encompassingRectangle changes during the execution, the others are initialized in the initialize.",,,,
Task 02,control,participant-03,,,I opened two debuggers to navigate at the same time in the two should: blocks. STONWriter>> #writeObject:do:,,,,
Task 04,control,participant-03,,,I simply went through the execution. 1 - GeneratorTest 2 - Generator 3 - GeneratorTest,,,,
Task 08,control,participant-03,,,I override the call to new in Hiedra's classes but didn't have time to count.,,,,
