Task,Image,userID,Time taken
Task 01,control,brown-anemois,38.53
Task 04,control,brown-anemois,11.38
Task 06,control,brown-anemois,18.82
Task 09,control,brown-anemois,8.75
Task 13,control,brown-anemois,6.90
Task 02,seeker,brown-anemois,2.63
Task 03,seeker,brown-anemois,3.60
Task 07,seeker,brown-anemois,5.78
Task 10,seeker,brown-anemois,7.13
Task 11,seeker,brown-anemois,3.63
Task 01,control,white-artemis,1.95
Task 03,control,white-artemis,2.27
Task 05,control,white-artemis,2.68
Task 09,control,white-artemis,7.70
Task 14,control,white-artemis,1.72
Task 02,seeker,white-artemis,2.77
Task 04,seeker,white-artemis,2.67
Task 08,seeker,white-artemis,2.37
Task 10,seeker,white-artemis,2.77
Task 12,seeker,white-artemis,4.57
Task 02,control,silver-hermes,23.98
Task 04,control,silver-hermes,11.05
Task 08,control,silver-hermes,6.32
Task 01,seeker,silver-hermes,12.13
Task 03,seeker,silver-hermes,4.20
Task 05,seeker,silver-hermes,4.48
Task 09,seeker,silver-hermes,4.70
Task 14,seeker,silver-hermes,4.37
Task 03,control,blue-nyx,3.37
Task 06,control,blue-nyx,1.80
Task 08,control,blue-nyx,10.35
Task 12,control,blue-nyx,8.40
Task 14,control,blue-nyx,3.65
Task 01,seeker,blue-nyx,7.53
Task 05,seeker,blue-nyx,2.63
Task 07,seeker,blue-nyx,3.57
Task 11,seeker,blue-nyx,2.70
Task 13,seeker,blue-nyx,4.17
Task 01,control,silver-erebus,7.22
Task 03,control,silver-erebus,6.85
Task 02,seeker,silver-erebus,7.43
Task 04,seeker,silver-erebus,2.05
Task 08,seeker,silver-erebus,2.63
Task 10,seeker,silver-erebus,2.77
Task 12,seeker,silver-erebus,6.47
Task 01,control,bronze-kaikias,2.53
Task 03,control,bronze-kaikias,3.08
Task 05,control,bronze-kaikias,1.78
Task 09,control,bronze-kaikias,2.43
Task 14,control,bronze-kaikias,3.57
Task 02,seeker,bronze-kaikias,6.88
Task 04,seeker,bronze-kaikias,6.85
Task 08,seeker,bronze-kaikias,2.32
Task 10,seeker,bronze-kaikias,2.45
Task 12,seeker,bronze-kaikias,2.72
Task 02,control,pink-hephaestus,3.18
Task 03,control,pink-hephaestus,2.37
Task 07,control,pink-hephaestus,23.15
Task 10,control,pink-hephaestus,12.07
Task 11,control,pink-hephaestus,1.32
Task 01,seeker,pink-hephaestus,4.42
Task 04,seeker,pink-hephaestus,10.38
Task 06,seeker,pink-hephaestus,6.15
Task 09,seeker,pink-hephaestus,14.90
Task 13,seeker,pink-hephaestus,28.32
Task 04,control,white-zeus,2.55
Task 06,control,white-zeus,2.75
Task 08,control,white-zeus,15.95
Task 12,control,white-zeus,13.25
Task 14,control,white-zeus,4.47
Task 03,seeker,white-zeus,3.12
Task 05,seeker,white-zeus,3.63
Task 07,seeker,white-zeus,3.78
Task 11,seeker,white-zeus,1.90
Task 13,seeker,white-zeus,6.27
Task 01,control,blue-skirion,3.02
Task 04,control,blue-skirion,3.85
Task 06,control,blue-skirion,2.72
Task 09,control,blue-skirion,8.93
Task 13,control,blue-skirion,9.70
Task 02,seeker,blue-skirion,2.77
Task 03,seeker,blue-skirion,3.40
Task 07,seeker,blue-skirion,3.93
Task 10,seeker,blue-skirion,5.48
Task 11,seeker,blue-skirion,5.53
Task 02,control,orange-gaia,1.65
Task 03,control,orange-gaia,2.18
Task 07,control,orange-gaia,3.38
Task 10,control,orange-gaia,7.77
Task 11,control,orange-gaia,7.50
Task 01,seeker,orange-gaia,4.80
Task 04,seeker,orange-gaia,3.67
Task 06,seeker,orange-gaia,1.85
Task 09,seeker,orange-gaia,7.10
Task 13,seeker,orange-gaia,5.22
Task 01,control,black-tartarus,0.78
Task 05,control,black-tartarus,14.93
Task 07,control,black-tartarus,10.53
Task 11,control,black-tartarus,10.92
Task 13,control,black-tartarus,13.20
Task 03,seeker,black-tartarus,7.68
Task 06,seeker,black-tartarus,5.55
Task 08,seeker,black-tartarus,10.88
Task 12,seeker,black-tartarus,16.93
Task 14,seeker,black-tartarus,4.57
Task 01,control,blue-hestia,32.20
Task 04,control,blue-hestia,11.13
Task 06,control,blue-hestia,12.33
Task 09,control,blue-hestia,9.20
Task 13,control,blue-hestia,10.63
Task 02,seeker,blue-hestia,17.65
Task 03,seeker,blue-hestia,6.58
Task 07,seeker,blue-hestia,6.28
Task 02,control,olive-hades,3.95
Task 04,control,olive-hades,5.37
Task 08,control,olive-hades,5.32
Task 10,control,olive-hades,26.02
Task 12,control,olive-hades,5.20
Task 01,seeker,olive-hades,23.65
Task 03,seeker,olive-hades,8.28
Task 05,seeker,olive-hades,3.43
Task 09,seeker,olive-hades,14.18
Task 14,seeker,olive-hades,5.58
Task 02,control,golden-boreas,2.37
Task 04,control,golden-boreas,3.47
Task 08,control,golden-boreas,5.93
Task 10,control,golden-boreas,17.45
Task 12,control,golden-boreas,3.72
Task 01,seeker,golden-boreas,7.00
Task 03,seeker,golden-boreas,2.02
Task 05,seeker,golden-boreas,3.08
Task 09,seeker,golden-boreas,5.18
Task 14,seeker,golden-boreas,10.03
Task 01,control,magenta-ares,16.38
Task 03,control,magenta-ares,7.67
Task 05,control,magenta-ares,8.13
Task 09,control,magenta-ares,10.72
Task 14,control,magenta-ares,7.45
Task 02,seeker,magenta-ares,11.62
Task 04,seeker,magenta-ares,4.32
Task 08,seeker,magenta-ares,3.48
Task 10,seeker,magenta-ares,4.25
Task 12,seeker,magenta-ares,3.85
Task 02,control,beige-hemera,5.92
Task 04,control,beige-hemera,6.23
Task 08,control,beige-hemera,17.27
Task 10,control,beige-hemera,12.85
Task 12,control,beige-hemera,9.55
Task 01,seeker,beige-hemera,14.45
Task 03,seeker,beige-hemera,8.20
Task 05,seeker,beige-hemera,9.93
Task 09,seeker,beige-hemera,2.65
Task 14,seeker,beige-hemera,4.45
Task 01,control,green-tartarus,7.75
Task 03,control,green-tartarus,12.90
Task 05,control,green-tartarus,3.55
Task 09,control,green-tartarus,12.50
Task 14,control,green-tartarus,10.38
Task 02,seeker,green-tartarus,6.57
Task 04,seeker,green-tartarus,5.10
Task 08,seeker,green-tartarus,5.15
Task 10,seeker,green-tartarus,3.90
Task 12,seeker,green-tartarus,8.43
Task 02,control,yellow-phanes,8.08
Task 03,control,yellow-phanes,10.75
Task 07,control,yellow-phanes,10.25
Task 10,control,yellow-phanes,35.42
Task 11,control,yellow-phanes,10.32
Task 01,seeker,yellow-phanes,3.22
Task 04,seeker,yellow-phanes,3.12
Task 06,seeker,yellow-phanes,2.20
Task 09,seeker,yellow-phanes,2.87
Task 13,seeker,yellow-phanes,11.62
Task 01,control,mauve-notos,11.27
Task 04,control,mauve-notos,10.63
Task 06,control,mauve-notos,14.65
Task 09,control,mauve-notos,13.17
Task 13,control,mauve-notos,13.30
Task 02,seeker,mauve-notos,67.22
Task 03,seeker,mauve-notos,13.40
Task 07,seeker,mauve-notos,14.72
Task 10,seeker,mauve-notos,16.58
Task 11,seeker,mauve-notos,11.80
Task 01,control,mauve-chaos,7.65
Task 03,control,mauve-chaos,11.08
Task 05,control,mauve-chaos,14.20
Task 09,control,mauve-chaos,30.25
Task 14,control,mauve-chaos,28.25
Task 02,seeker,mauve-chaos,10.55
